	Text	Similarity	Facts
40346	H is positioned above and to the left of S. S is on the left side of and below C. The object O is positioned below and to the left of the object J. O is diagonally below L to the right at a 45 degree angle. H is on the top of L and is on the same vertical plane.	0.4908996817157122	"upper-left(H,S)
lower-left(S,C)
lower-left(O,J)
lower-right(O,L)
above(H,L)"
42942	C is on the top and Y is at the bottom. S is over there and D is on the left. The object S is positioned above and to the right of the object U. B is at the 3 o'clock position relative to D. U is on the same horizontal plane directly left to C.	0.4907925722801298	"above(C,Y)
below(Y,C)
left(D,S)
upper-right(S,U)
right(B,D)
left(U,C)"
42596	R is positioned below P and to the left. The object A is lower and slightly to the left of the object P. R is diagonally above K to the left at a 45 degree angle. D is at the bottom of S vertically. A is over there and D is on the right of it.	0.4906788070831236	"lower-left(R,P)
lower-left(A,P)
upper-left(R,K)
below(D,S)
right(D,A)"
49979	The object K is positioned below and to the left of the object X. W is lower right of R. F and K are side by side with K at the bottom and F on the top. S is over there and W is on the right. S is diagonally above F to the right at a 45 degree.	0.4906518672636016	"lower-left(K,X)
lower-right(W,R)
below(K,F)
above(F,K)
right(W,S)
upper-right(S,F)"
42837	H and U are parallel, and H on the left of U. P is placed at the upper right of L. X is over there and H is on the left of it. The object I is positioned above and to the right of the object X. I is diagonally right and above P.	0.4904465541229787	"left(H,U)
upper-right(P,L)
left(H,X)
upper-right(I,X)
upper-right(I,P)"
45446	The object K is positioned below and to the right of the object X. K is sitting at the lower right position to I. V and T are parallel, and V is under T. B is on the left side and above T. B is on the top and I is at the bottom.	0.4904369832452133	"lower-right(K,X)
lower-right(K,I)
below(V,T)
upper-left(B,T)
above(B,I)
below(I,B)"
47864	U is above N and to the right of N. S is on the left side and above T. S and D are parallel, and S is on top of D. The object G is lower and slightly to the right of the object D. N is there and T is at the 10 position of a clock face.	0.4900319868793554	"upper-right(U,N)
upper-left(S,T)
above(S,D)
lower-right(G,D)
upper-left(T,N)"
44299	Y is positioned in the lower right corner of Q. O is diagonally above Q to the right at a 45 degree. C is on the top of D and is on the same vertical plane. Y is over there and H is on the right of it. The object D is lower and slightly to the left of the object H.	0.4899751433637494	"lower-right(Y,Q)
upper-right(O,Q)
above(C,D)
right(H,Y)
lower-left(D,H)"
47909	I is on the top side to T. U is below and to the left of I. N is over there and H is on the right of it. X and N are horizontal and X is to the left of N. H is diagonally below U to the right at a 45 degree angle.	0.4897031311300335	"above(I,T)
lower-left(U,I)
right(H,N)
left(X,N)
lower-right(H,U)"
43308	C is to the right of F and is on the same horizontal plane. The object V is positioned directly below the object D. Q is placed on the top of C. D and Q are parallel, and D is to the right of Q. P is over there and F is on the left.	0.4896565414839248	"right(C,F)
below(V,D)
above(Q,C)
right(D,Q)
left(F,P)"
32680	H and F are parallel, and H is to the right of F. A is below G and to the left of G. J is on the top and H is at the bottom. J is over there and A is on the right.	0.4896312270094571	"right(H,F)
lower-left(A,G)
above(J,H)
below(H,J)
right(A,J)"
45824	H is diagonally to the bottom right of E. F and D are horizontal and F is to the left of D. F is over there and O is on the left of it. The object H is lower and slightly to the left of the object O. S and E are parallel, and S is to the left of E.	0.4895885055330662	"lower-right(H,E)
left(F,D)
left(O,F)
lower-left(H,O)
left(S,E)"
45619	V is positioned in the top left corner of G. The object O and G are there. The object O is below and slightly to the right of the object G. X is on the top side to A. L is to the bottom-left of X. L is diagonally to the upper right of O.	0.4895620958903885	"upper-left(V,G)
lower-right(O,G)
above(X,A)
lower-left(L,X)"
46604	H is positioned above Y and to the right. B is placed in the left direction of Q. The object N is upper and slightly to the left of the object Q. N and Y are parallel, and N is to the right of Y. O is on the lower left of B.	0.48954183683258	"upper-right(H,Y)
left(B,Q)
upper-left(N,Q)
right(N,Y)
lower-left(O,B)"
44721	X is at the lower side of Q. The object R is positioned above and to the right of the object Q. R is at the bottom and L is on the top. G is to the left of W horizontally. W is diagonally below X to the right at a 45 degree angle.	0.4894858017258558	"below(X,Q)
upper-right(R,Q)
below(R,L)
above(L,R)
left(G,W)
lower-right(W,X)"
46668	The object Z is upper and slightly to the left of the object I. P is positioned below H and to the left. T is to the left of I and is on the same horizontal plane. T is below and to the left of H. V is over there and P is on the left of it.	0.4894342853164926	"upper-left(Z,I)
lower-left(P,H)
left(T,I)
lower-left(T,H)
left(P,V)"
37458	M is over there and L is directly below it. The object H is positioned above and to the left of object A. N is on the right and M is on the left. H is placed at the upper left of L.	0.4894291365955926	"below(L,M)
upper-left(H,A)
right(N,M)
left(M,N)
upper-left(H,L)"
20734	W is above A and to the left of A. I is on the top and A is at the bottom. W is below and to the left of J.	0.4894115775426961	"upper-left(W,A)
above(I,A)
below(A,I)
lower-left(W,J)"
31333	O is above Q and to the left of Q. O is to the bottom right of B. I is on the top and B is at the bottom. U is below and to the left of Q.	0.4893786924649723	"upper-left(O,Q)
lower-right(O,B)
above(I,B)
below(B,I)
lower-left(U,Q)"
49229	Object J is below object X and to the right of it, too. T is on the top side to W. S is below and to the left of M. M is sitting at the upper left position to T. X and S are parallel, and X is to the right of S.	0.4893490523910532	"lower-right(J,X)
above(T,W)
lower-left(S,M)
upper-left(M,T)
right(X,S)"
49219	G is to the right of E. L is on the right and E is on the left. The object G is positioned above and to the left of object R. B is upper left of C. L presents right to C.	0.4893134392788987	"right(G,E)
right(L,E)
left(E,L)
upper-left(G,R)
upper-left(B,C)
right(L,C)"
43053	S is to the bottom-left of N. The object I is positioned above and to the right of the object R. I and S are side by side with I to the left and S to the right. G is over there and R is directly below it. O is to the top right of N.	0.4892971412665233	"lower-left(S,N)
upper-right(I,R)
left(I,S)
right(S,I)
below(R,G)
upper-right(O,N)"
45222	G is on the left and W is on the right. M is over there with J below. W is diagonally to the bottom right of M. U is positioned above and to the left of J. G is upper left of C.	0.4891650391840444	"left(G,W)
right(W,G)
below(J,M)
lower-right(W,M)
upper-left(U,J)
upper-left(G,C)"
45877	O is on the right side and below C. S is above and to the left of V. Q is there and C is at the 2 position of a clock face. V is at the 9 o'clock position relative to Q. The object T is positioned below and to the left of the object S.	0.4891406585105217	"lower-right(O,C)
upper-left(S,V)
upper-right(C,Q)
left(V,Q)
lower-left(T,S)"
46365	D is positioned below and to the right of H. E is at the 9 o'clock position relative to L. I is placed at the lower left of G. I is on the left and E is on the right. L is diagonally to the bottom right of D.	0.4891142269807045	"lower-right(D,H)
left(E,L)
lower-left(I,G)
left(I,E)
right(E,I)
lower-right(L,D)"
39968	T is positioned above and to the left of S. S is on the top and C is at the bottom. W is on the left side of and below T. Object Q is below object C and to the right of it, too.	0.4891016551792247	"upper-left(T,S)
above(S,C)
below(C,S)
lower-left(W,T)
lower-right(Q,C)"
49009	E is below and to the right of G. U is to the left of G and is on the same horizontal plane. C is above and to the left of N. C is on the right side and below I. N is placed at the bottom of E.	0.4890491472586232	"lower-right(E,G)
left(U,G)
upper-left(C,N)
lower-right(C,I)
below(N,E)"
36363	C is below L at 4 o'clock. O is over there and G is on the left of it. U is on the right side and top of L. The object O is upper and slightly to the left of the object U.	0.4890082399145486	"lower-right(C,L)
left(G,O)
upper-right(U,L)
upper-left(O,U)"
45834	The object I is positioned above and to the left of object J. R is over there and W is on the left. I is diagonally to the upper right of T. T is at the bottom of F vertically. R is above and to the left of J.	0.4889972927396536	"upper-left(I,J)
left(W,R)
upper-right(I,T)
below(T,F)
upper-left(R,J)"
40778	E is upper left of K. K is sitting at the lower right position to U. E and H are parallel, and E is on top of H. The object Y is positioned below and to the right of the object U. C is placed on the top of H.	0.4888920592053294	"upper-left(E,K)
lower-right(K,U)
above(E,H)
lower-right(Y,U)
above(C,H)"
45351	A and L are side by side with L at the bottom and A on the top. The object L is upper and slightly to the left of the object U. S is sitting in the right direction of A. R is there and U is at the 5 position of a clock face. J is positioned below and to the right of R.	0.4887972020392193	"below(L,A)
above(A,L)
upper-left(L,U)
right(S,A)
lower-right(U,R)
lower-right(J,R)"
43134	C is below R and to the left of R. Y is below and to the left of C. The object S is positioned below and to the right of the object A. R and I are side by side with I at the bottom and R on the top. A is sitting at the lower right position to Y.	0.4887608673064738	"lower-left(C,R)
lower-left(Y,C)
lower-right(S,A)
below(I,R)
above(R,I)
lower-right(A,Y)"
46095	J is on the top and G is at the bottom. C is there and Q is at the 2 position of a clock face. C presents right to X. The object X is upper and slightly to the right of the object J. G is diagonally right and below Y.	0.4887521733477108	"above(J,G)
below(G,J)
upper-right(Q,C)
right(C,X)
upper-right(X,J)
lower-right(G,Y)"
33690	D is positioned below and to the right of Y. I is below and to the right of X. Y is on the top and K is at the bottom. D is positioned above I and to the left.	0.4887481065397444	"lower-right(D,Y)
lower-right(I,X)
above(Y,K)
below(K,Y)
upper-left(D,I)"
40702	S is on the right side and below N. E and N are both there with the object E is to the left of object N. L presents lower right to S. E is above V and to the left of V. L is over there and Y is on the top of it.	0.4886884803261306	"lower-right(S,N)
left(E,N)
lower-right(L,S)
upper-left(E,V)
above(Y,L)"
39154	C is on top of W. B and U are horizontal and B is to the left of U. P is on the upper right of B. The object U is positioned above and to the right of the object W.	0.4886719891399401	"above(C,W)
left(B,U)
upper-right(P,B)
upper-right(U,W)"
47951	E is on the same vertical plane directly above L. K is diagonally left and below L. W is there and Q is at the 5 position of a clock face. The object K is positioned below and to the left of the object W. Y is on the top and Q is at the bottom.	0.4886179474397961	"above(E,L)
lower-left(K,L)
lower-right(Q,W)
lower-left(K,W)
above(Y,Q)
below(Q,Y)"
38327	R is positioned above O and to the left. C is over there and R is at the bottom of it. N is on the right and O is on the left. P is sitting at the upper right position to N.	0.488303886487193	"upper-left(R,O)
below(R,C)
right(N,O)
left(O,N)
upper-right(P,N)"
43828	B is diagonally left and below R. R is upper right to Q. The object D and B are there. The object B is above and slightly to the left of the object D. N is to the left of W. D is on the right side and below W.	0.4882843759621683	"lower-left(B,R)
upper-right(R,Q)
upper-left(B,D)
left(N,W)
lower-right(D,W)"
40108	J is on the right and F is on the left. O is sitting in the left direction of A. The object J is lower and slightly to the right of the object A. The object O is positioned below and to the right of the object E. F is there and D is at the 10 position of a clock face.	0.4882773543279299	"right(J,F)
left(F,J)
left(O,A)lower-right(J,A)
lower-right(O,E)
upper-left(D,F)"
40912	M is over there and E is on the left of it. C is positioned above D and to the left. Z is at the bottom and D is on the top. Object L is above object C and to the left of it, too. Z is sitting at the upper right position to E.	0.4881357111844142	"left(E,M)
upper-left(C,D)
below(Z,D)
above(D,Z)
upper-left(L,C)
upper-right(Z,E)"
46454	O is on the top and Y is at the bottom. A is on the left and Y is on the right. X is to the bottom-left of O. M is upper right to T. X is positioned above and to the left of T.	0.4880219052702368	"above(O,Y)
below(Y,O)
left(A,Y)
right(Y,A)
lower-left(X,O)
upper-right(M,T)
upper-left(X,T)"
47116	The object N and Q are there. The object Q is above and slightly to the left of the object N. Q is sitting at the upper right position to T. A is to the right of T and is on the same horizontal plane. If N is the center of a clock face, F is located between 4 and 5. O is to the bottom-left of A.	0.4879616541089918	"upper-left(Q,N)
upper-right(Q,T)
right(A,T)
lower-right(F,N)
lower-left(O,A)"
49440	L is at the 3 o'clock position relative to J. B is to the left of W. F is on the lower left of P. B is positioned above L and to the right. F is over there and W is on the right.	0.4878937683552137	"right(L,J)
left(B,W)
lower-left(F,P)
upper-right(B,L)
right(W,F)"
40577	B is over there and O is on the left of it. S is at the 3 o'clock position relative to C. The object Y is positioned above and to the right of the object V. V is sitting at the 6:00 position to O. Y is on the right and S is on the left.	0.4878677400556085	"left(O,B)
right(S,C)
upper-right(Y,V)
below(V,O)
right(Y,S)
left(S,Y)"
40684	X and C are both there with the object X is to the right of object C. O is at the bottom of X and is on the same vertical plane. K is to the left of C. Q is to the top right of N. Q is diagonally below K to the right at a 45 degree angle.	0.4878672111694977	"right(X,C)
below(O,X)
left(K,C)
upper-right(Q,N)
lower-right(Q,K)"
48235	I and D are both there with the object I is to the right of object D. G is at the 6 o'clock position relative to B. C is positioned below G and to the left. D is over there and L is on the left. I is at the bottom of B.	0.4878460309780076	"right(I,D)
below(G,B)
lower-left(C,G)
left(L,D)
below(I,B)"
47168	The object G is positioned below and to the left of the object J. P is diagonally right and above V. N is to the upper left of G. N is there and P is at the 2 position of a clock face. V is placed at the upper left of S.	0.4878452937835685	"lower-left(G,J)
upper-right(P,V)
upper-left(N,G)
upper-right(P,N)
upper-left(V,S)"
44238	G is below E and to the left of E. The object A is lower and slightly to the right of the object O. Y is on the same horizontal plane directly right to G. A is placed at the bottom of Y. N is positioned below E and to the right.	0.4877703419933294	"lower-left(G,E)
lower-right(A,O)
right(Y,G)
below(A,Y)
lower-right(N,E)"
36186	P is sitting at the upper right position to X. P and V are horizontal and P is to the right of V. The object C is positioned below and to the left of the object V. D is over there and X is directly below it.	0.4877427483785044	"upper-right(P,X)
right(P,V)
lower-left(C,V)
below(X,D)"
41263	Z is placed at the upper right of M. F is positioned below K and to the right. T is there and R is at the 10 position of a clock face. F is to the left of Z. The objects M and T are over there. The object M is lower and slightly to the left of the object T.	0.4877376497210874	"upper-right(Z,M)
lower-right(F,K)
upper-left(R,T)
left(F,Z)
lower-left(M,T)"
43429	U is to the left of Z. R is there and D is at the 10 position of a clock face. The object V is positioned directly below the object T. U is to the right of R and is on the same horizontal plane. D and V are parallel, and D on the left of V.	0.487682157450474	"left(U,Z)
upper-left(D,R)
below(V,T)
right(U,R)
left(D,V)"
39593	J is on the left and X is on the right. R is over there and N is on the right of it. The object M is lower and slightly to the left of the object J. M is at the bottom of N.	0.4875741981423737	"left(J,X)
right(X,J)
right(N,R)
lower-left(M,J)
below(M,N)"
46866	Y is positioned below U and to the left. Y is above and to the right of E. D and Z are in a horizontal line with Z on the right. U is to the bottom right of I. Z is there and E is at the 2 position of a clock face.	0.4875366358560825	"lower-left(Y,U)
upper-right(Y,E)
right(Z,D)
lower-right(U,I)
upper-right(E,Z)"
42284	X is diagonally to the upper left of Z. The object Z is positioned below and to the right of the object S. G is at the lower side of U. G presents over S. T is to the left of X and is on the same horizontal plane.	0.4874901232613581	"upper-left(X,Z)
lower-right(Z,S)
below(G,U)
above(G,S)
left(T,X)"
42887	Q is on the left and E is on the right. I is positioned above E and to the left. The object B is lower and slightly to the right of the object V. The object Q is positioned below and to the left of the object B. V is above O at 2 o'clock.	0.4874180310568327	"left(Q,E)
right(E,Q)
upper-left(I,E)
lower-right(B,V)
lower-left(Q,B)
upper-right(V,O)"
48487	C is over there and M is on the left. M is below F and to the right of F. Y is positioned below and to the right of H. R is lower left to C. Y is positioned above and to the left of F.	0.4873455485667415	"left(M,C)
lower-right(M,F)
lower-right(Y,H)
lower-left(R,C)
upper-left(Y,F)"
44267	P is on the left and J is on the right. Q and J are side by side with Q on the top and J at the bottom. V is diagonally to the upper left of Q. P is to the bottom left of U. The object K is positioned above and to the right of the object V.	0.4873347260986198	"left(P,J)
right(J,P)
above(Q,J)
below(J,Q)
upper-left(V,Q)
lower-left(P,U)
upper-right(K,V)"
42002	B is diagonally right and below A. Z is on the right and L is on the left. V is at K’s 9 o'clock. Z is positioned in the top left corner of V. A and L are both there with the object A is to the right of object L.	0.4872858582176301	"lower-right(B,A)
right(Z,L)
left(L,Z)
left(V,K)
upper-left(Z,V)
right(A,L)"
42504	D is on the left side to C. The object V is positioned below and to the left of the object P. L and T are horizontal and L is to the left of T. T presents over P. L is on the upper right of C.	0.4872661671578361	"left(D,C)
lower-left(V,P)
left(L,T)
above(T,P)
upper-right(L,C)"
31376	The object H is positioned above and to the right of the object T. M is over there and Y is at the bottom of it. M is at the 6 o'clock position relative to X. H is below Y and to the right of Y.	0.487068380361491	"upper-right(H,T)
below(Y,M)
below(M,X)
lower-right(H,Y)"
44438	The object T is upper and slightly to the left of the object W. M is lower left to B. Q is at the 9 o'clock position relative to T. M is positioned above W and to the left. B is on the left and Y is on the right.	0.4870357104965407	"upper-left(T,W)
lower-left(M,B)
left(Q,T)
upper-left(M,W)
left(B,Y)
right(Y,B)"
42570	E is sitting at the lower position to C. W is over there and X is on the left. C is on the left side and above Z. The object H and Z are there. The object Z is above and slightly to the left of the object H. W is positioned in the lower right corner of E.	0.4870159301009044	"below(E,C)
left(X,W)
upper-left(C,Z)
upper-left(Z,H)
lower-right(W,E)"
40791	The object R and I are there. The object R is below and slightly to the right of the object I. Y is over there and X is on the right. Y is on the same horizontal plane directly right to M. R and M are parallel, and R is to the left of M. I is above C at 2 o'clock.	0.4869818611381428	"lower-right(R,I)
right(X,Y)
right(Y,M)
left(R,M)
upper-right(I,C)"
47647	S is to the right of E. I is sitting at the lower right position to E. A is below and to the right of I. O is below S and to the right of S. A and Y are both there with the object A is to the left of object Y.	0.4869563205122271	"right(S,E)
lower-right(I,E)
lower-right(A,I)
lower-right(O,S)
left(A,Y)"
47444	Q is diagonally right and above X. The object V is lower and slightly to the right of the object X. S is placed on the top of K. Q is below and to the right of S. I is upper left of V.	0.4869063433703515	"upper-right(Q,X)
lower-right(V,X)
above(S,K)
lower-right(Q,S)
upper-left(I,V)"
44017	G and Q are parallel, and G is to the left of Q. Q is diagonally left and below X. The object V is positioned above and to the right of the object T. T is placed at the lower right of X. G is sitting in the left direction of U.	0.486903230099409	"left(G,Q)
lower-left(Q,X)
upper-right(V,T)
lower-right(T,X)
left(G,U)"
32636	F is there and G is at the 2 position of a clock face. X is to the left of N. The object G is positioned directly above the object D. N is on the left and F is on the right.	0.4868484629341844	"upper-right(G,F)
left(X,N)
above(G,D)
left(N,F)
right(F,N)"
44724	Z and U are both there with the object Z above the object U. U is below V and to the left of V. V is over there and Y is at the bottom of it. N is above and to the left of Y. B is to the top-right of Z.	0.4867405534086987	"above(Z,U)
lower-left(U,V)
below(Y,V)
upper-left(N,Y)
upper-right(B,Z)"
47943	F is above T and to the left of T. T is on the right side and top of U. B is below G at 7 o'clock. U and B are both there with the object U above the object B. G is on the right and V is on the left.	0.4866729318712716	"upper-left(F,T)
upper-right(T,U)
lower-left(B,G)
above(U,B)
right(G,V)
left(V,G)"
44364	F is diagonally to the upper right of H. S is over there and N is directly above it. R is below and to the right of S. N is at the bottom and F is on the top. H and J are parallel, and H on the right of J.	0.486656761665666	"upper-right(F,H)
above(N,S)
lower-right(R,S)
below(N,F)
above(F,N)
right(H,J)"
31660	C is at the bottom of U. C is positioned above and to the left of M. The object S is positioned below and to the right of the object U. M is below and to the right of B.	0.4866454725370975	"below(C,U)
upper-left(C,M)
lower-right(S,U)
lower-right(M,B)"
48888	J is diagonally right and above Z. K and J are horizontal and K is to the left of J. K is at the lower side of U. The object U is lower and slightly to the left of the object A. A is there and T is at the 5 position of a clock face.	0.4865959605831605	"upper-right(J,Z)
left(K,J)
below(K,U)
lower-left(U,A)
lower-right(T,A)"
49406	The objects U and J are over there. The object U is lower and slightly to the left of the object J. V is at the 3 o'clock position relative to Z. U is on the left side of and below O. L is positioned below V and to the left. J is at the bottom of L.	0.4865698498196337	"lower-left(U,J)
right(V,Z)
lower-left(U,O)
lower-left(L,V)
below(J,L)"
46152	B is to the left of L horizontally. B is diagonally above T to the right at a 45 degree. The object G and W are there. The object W is above and slightly to the left of the object G. X and G are parallel, and X is to the left of G. L is on the right and X is on the left.	0.4865241216634781	"left(B,L)
upper-right(B,T)
upper-left(W,G)
left(X,G)
right(L,X)
left(X,L)"
40557	The object J is lower and slightly to the left of the object M. E is positioned above O and to the left. M and S are side by side with M on the top and S at the bottom. S is below Z and to the right of Z. J is diagonally above E to the right at a 45 degree.	0.4865237275554422	"lower-left(J,M)
upper-left(E,O)
above(M,S)
below(S,M)
lower-right(S,Z)
upper-right(J,E)"
40044	B and L are next to each other with B on the top and L at the bottom. The object L is positioned below and to the left of the object X. C is upper left of H. T is positioned above B and to the left. X is over there and C is on the right of it.	0.4865052180710173	"above(B,L)
below(L,B)
lower-left(L,X)
upper-left(C,H)
upper-left(T,B)
right(C,X)"
35456	L is sitting at the top position to J. J is to the bottom-right of M. The object Q is positioned above and to the right of the object L. M is below X and to the right of X.	0.4864743003810616	"above(L,J)
lower-right(J,M)
upper-right(Q,L)
lower-right(M,X)"
40467	K is there and C is at the 2 position of a clock face. Z presents lower left to H. Z is placed on the top of K. The object H is positioned below and to the left of the object N. V is at the bottom of N.	0.4864181515723304	"upper-right(C,K)
lower-left(Z,H)
above(Z,K)
lower-left(H,N)
below(V,N)"
47862	O is on the top and T is at the bottom. Object J is above object I and to the left of it, too. I is sitting at the upper left position to B. U is on the right and J is on the left. B and O are parallel, and B on the right of O.	0.4863784326776544	"above(O,T)
below(T,O)
upper-left(J,I)
upper-left(I,B)
right(U,J)
left(J,U)
right(B,O)"
45139	X is above P and to the left of P. O is to the upper left of Q. E is there and O is at the 2 position of a clock face. The object E is lower and slightly to the left of the object H. The object X is positioned below and to the left of the object Q.	0.4863050184297074	"upper-left(X,P)
upper-left(O,Q)
upper-right(O,E)
lower-left(E,H)
lower-left(X,Q)"
29991	X is on the right and J is on the left. G is there and X is at the 5 position of a clock face. The object G is positioned above and to the left of object M.	0.4862869793178648	"right(X,J)
left(J,X)
lower-right(X,G)
upper-left(G,M)"
46298	D is placed at the upper left of O. P is over there and V is on the right. The object V is lower and slightly to the left of the object Q. Q is sitting at the 6:00 position to D. O and Z are vertical and O is below Z.	0.4862270014138367	"upper-left(D,O)
right(V,P)
lower-left(V,Q)
below(Q,D)
below(O,Z)"
41232	J is over there and L is on the top of it. The object G is lower and slightly to the right of the object B. J is on the same vertical plane directly above B. K is sitting at the lower position to G. K and X are horizontal and K is to the right of X.	0.4862084445524008	"above(L,J)
lower-right(G,B)
above(J,B)
below(K,G)
right(K,X)"
49396	I is on the lower right of M. The object M and Q are there. The object M is below and slightly to the right of the object Q. D is placed at the upper left of I. U is positioned above N. Q is at N's 3 o'clock.	0.4862037422008512	"lower-right(I,M)
lower-right(M,Q)
upper-left(D,I)
above(U,N)
right(Q,N)"
48631	The object A is positioned directly below the object Y. Y is diagonally to the bottom left of Q. K is positioned below and to the right of P. K is positioned above and to the left of E. A is over there and E is on the right.	0.4861848742910588	"below(A,Y)
lower-left(Y,Q)
lower-right(K,P)
upper-left(K,E)
right(E,A)"
37136	G is on the top and T is at the bottom. Q and A are parallel, and Q is to the right of A. The object K is positioned above and to the left of object T. Q is diagonally left and above Q.	0.4861368236054263	"above(G,T)
below(T,G)
right(Q,A)
upper-left(K,T)"
48303	H is there and T is at the 2 position of a clock face. V is on the top of T and is on the same vertical plane. Z is above and to the left of V. F and Z are horizontal and F is to the right of Z. F is above and to the right of B.	0.4860724013991667	"upper-right(T,H)
above(V,T)
upper-left(Z,V)
right(F,Z)
upper-right(F,B)"
42733	H and X are both there with the object H above the object X. P is to the upper left of G. Z is to the top-left of P. G is placed at the bottom of H. J is positioned below and to the right of Z.	0.4859931816358375	"above(H,X)
upper-left(P,G)
upper-left(Z,P)
below(G,H)
lower-right(J,Z)"
40476	N is on the lower left of F. W and U are in a horizontal line with U on the right. F is at the 3 o'clock position relative to G. The object G is positioned below and to the right of the object Y. W is below Y and to the left of Y.	0.4859781768406653	"lower-left(N,F)
right(U,W)
right(F,G)
lower-right(G,Y)
lower-left(W,Y)"
37977	L is above W and to the left of W. J is positioned below M. H is at the bottom and W is on the top. J is upper right to L.	0.4859289218650046	"upper-left(L,W)
below(J,M)
below(H,W)
above(W,H)
upper-right(J,L)"
40226	X is on the lower right of W. B is sitting at the 3:00 position to A. The object Q is positioned above and to the left of object X. E is to the bottom-right of Q. A is positioned above and to the left of E.	0.485868318315748	"lower-right(X,W)
right(B,A)
upper-left(Q,X)
lower-right(E,Q)
upper-left(A,E)"
49279	The object J and F are there. The object J is below and slightly to the right of the object F. B is over there and F is directly above it. Z is positioned above B and to the left. Y is positioned in the top left corner of J. Y is on the right side and top of H.	0.4858238347802177	"lower-right(J,F)
above(F,B)
upper-left(Z,B)
upper-left(Y,J)
upper-right(Y,H)"
